case_id,school_id,automated_scope,suggested_query,retrieved_passage,source_url,relevance,matched_query_terms,include_in_audit,human_query,human_expected_scope,human_evidence_expected,human_expected_terms,human_expected_source_contains,reviewer_notes
retrieval-school-centre-pt9148-outdoor,CENTRE:PT9148,school,Does this preschool describe outdoor learning or outdoor facilities?,"Close Search Star Learners at Woodlands Circle Our preschool and child care in Admiralty provides all-rounded programmes for children 18 months to 6 years old and offers a conducive environment with diverse opportunities for learning and development in the early years. As an appointed Partner Operator (POP) by ECDA, Star Learners is committed to providing quality preschool and child care services whilst keeping school fees affordable. Experience this Centre Star Learners at Woodlands Circle Parents’ preferred preschool in Woodlands Circle Awarded the ECDA SPARK certification for quality standards in Curriculum, Pedagogy and Health, Hygiene & Safety 2026 full-day child care school fees (before taxes and subsidies) are as follows: Singaporeans — $650 PRs/ Foreigners — $1230 Roomy, bright, and fully air-conditioned childcare centre Enrichment programmes available include Art, English Speech & Drama, Music and Young Scientist A common outdoor playground outside the centre for fun, outdoor learning Age group: 18 months to 6 years old partners-partneroperator partners-spark partners-hpb _DSC4863 _DSC4858 _DSC4861 _DSC4840 How to reach our preschool in Woodlands Circle STAR LEARNERS @ WOODLANDS CIRCLE 764A Woodlands Circle, #01-300, Singapore",https://starlearners.com.sg/our-centres/woodlands-circle/,0.57,preschool | outdoor | learning,yes,Does this branch have an outdoor playground?,school,yes,common outdoor playground,starlearners.com.sg,Assistant-assisted label: passage contains topic-specific evidence 'common outdoor playground' for the query; independent human verification not performed.
retrieval-school-centre-pt9148-curriculum,CENTRE:PT9148,school,What curriculum or teaching approach does this preschool describe?,"Close Search Star Learners at Woodlands Circle Our preschool and child care in Admiralty provides all-rounded programmes for children 18 months to 6 years old and offers a conducive environment with diverse opportunities for learning and development in the early years. As an appointed Partner Operator (POP) by ECDA, Star Learners is committed to providing quality preschool and child care services whilst keeping school fees affordable. Experience this Centre Star Learners at Woodlands Circle Parents’ preferred preschool in Woodlands Circle Awarded the ECDA SPARK certification for quality standards in Curriculum, Pedagogy and Health, Hygiene & Safety 2026 full-day child care school fees (before taxes and subsidies) are as follows: Singaporeans — $650 PRs/ Foreigners — $1230 Roomy, bright, and fully air-conditioned childcare centre Enrichment programmes available include Art, English Speech & Drama, Music and Young Scientist A common outdoor playground outside the centre for fun, outdoor learning Age group: 18 months to 6 years old partners-partneroperator partners-spark partners-hpb _DSC4863 _DSC4858 _DSC4861 _DSC4840 How to reach our preschool in Woodlands Circle STAR LEARNERS @ WOODLANDS CIRCLE 764A Woodlands Circle, #01-300, Singapore",https://starlearners.com.sg/our-centres/woodlands-circle/,0.53,curriculum | approach | preschool,yes,What kind of curriculum does the preschool have?,school,yes,literature-based curriculum | activity-based approach,starlearners.com.sg,The page describes a literature-based curriculum integrated with an activity-based approach.
retrieval-school-centre-pt9148-language,CENTRE:PT9148,school,What language-learning opportunities are described?,"of opportunities for them to tackle concepts in multiple learning areas. Through its integration with a robust activity-based approach, children learn a multitude of essential skills such as problem-solving, creative and critical thinking, and communication. Our bespoke Stanley Starfish™ Character Programme introuduces character traits via our unique literature-based approach. Using stories and authentic context, we provide children with ample opportunities to apply what they have learnt. Character, social, and emotional development are integrated into everyday school life, laying the foundation for satisfaction, security and success. This foundation begins at Star Learners – where character is not just taught, but caught. Ms Joan Yap Principal, Star Learners @ Woodlands Circle ACEY, DECCE-T, SDECCE, Bachelor of Education in Early Childhood “My 15 years in early childhood education have taught me that this work is built on relationships — with children, educators and families. What motivates me most is seeing educators feel supported and confident in their roles, and children arriving each day knowing they are safe, understood and cared for. My approach is rooted in relationships. I take time to understand each",https://starlearners.com.sg/our-centres/woodlands-circle/,0.475,learning | opportunity,yes,what languages are taught in school?,school,yes,English Speech & Drama,starlearners.com.sg,The branch page lists English Speech & Drama as an enrichment programme.
retrieval-school-centre-pt9116-outdoor,CENTRE:PT9116,school,Does this preschool describe outdoor learning or outdoor facilities?,"Close Search Star Learners at Woodlands 11 Our preschool and child care in Woodlands Ave 12 provides all-rounded programmes for children 18 months to 6 years old and offers a conducive environment with diverse opportunities for learning and development in the early years. As an appointed Partner Operator (POP) by ECDA, Star Learners is committed to providing quality preschool and child care services whilst keeping school fees affordable. Experience this Centre Star Learners at Woodlands 11 Parents’ preferred preschool in Woodlands 11 Awarded the ECDA SPARK certification for quality standards in Curriculum, Pedagogy and Health, Hygiene & Safety 2026 full-day child care school fees (before taxes and subsidies) are as follows: Singaporeans — $650 PRs/ Foreigners — $1630 A completely air-conditioned centre with thoughtfully designed learning areas – Equipped with an indoor playground Enrichment programmes available include Abacus, Art, Music and Speech & Drama (English and Chinese) Two-way school bus service is available at this childcare in Woodlands Age group: 18 months to 6 years old partners-partneroperator partners-spark 00014 (1) 00022 00003 How to reach our preschool in Woodlands 11",https://starlearners.com.sg/our-centres/woodlands-11/,0.53,preschool | outdoor | learning,yes,Does this branch have an outdoor playground?,school,no,,starlearners.com.sg,Assistant-assisted label: saved passage does not answer the query; independent human verification not performed.
retrieval-school-centre-pt9116-curriculum,CENTRE:PT9116,school,What curriculum or teaching approach does this preschool describe?,"immerses every child in rich and exciting worlds, and opens up plenty of opportunities for them to tackle concepts in multiple learning areas. Through its integration with a robust activity-based approach, children learn a multitude of essential skills such as problem-solving, creative and critical thinking, and communication. Our bespoke Stanley Starfish™ Character Programme introuduces character traits via our unique literature-based approach. Using stories and authentic context, we provide children with ample opportunities to apply what they have learnt. Character, social, and emotional development are integrated into everyday school life, laying the foundation for satisfaction, security and success. This foundation begins at Star Learners – where character is not just taught, but caught. Ms Jasclyn Principal, Star Learners @ Woodlands 11 Diploma in Early Childhood Care and Education – Teaching (DECCE-T), Advanced Certificate in Early Years (ACEY), Bachelor of Arts in Early Childhood Education with Psychology (BA-ECE), Advanced Certificate in Learning and Performance (ACLP2.0) “My 21-year journey in the ECCE industry hasn’t been without its ups and downs, but following my heart and working hard has led me here today. Being",https://starlearners.com.sg/our-centres/woodlands-11/,0.53,curriculum | teaching | approach,yes,What kind of curriculum does the preschool have?,school,yes,literature-based approach,starlearners.com.sg,Assistant-assisted label: passage contains topic-specific evidence 'literature-based approach' for the query; independent human verification not performed.
retrieval-school-centre-pt9116-language,CENTRE:PT9116,school,What language-learning opportunities are described?,"immerses every child in rich and exciting worlds, and opens up plenty of opportunities for them to tackle concepts in multiple learning areas. Through its integration with a robust activity-based approach, children learn a multitude of essential skills such as problem-solving, creative and critical thinking, and communication. Our bespoke Stanley Starfish™ Character Programme introuduces character traits via our unique literature-based approach. Using stories and authentic context, we provide children with ample opportunities to apply what they have learnt. Character, social, and emotional development are integrated into everyday school life, laying the foundation for satisfaction, security and success. This foundation begins at Star Learners – where character is not just taught, but caught. Ms Jasclyn Principal, Star Learners @ Woodlands 11 Diploma in Early Childhood Care and Education – Teaching (DECCE-T), Advanced Certificate in Early Years (ACEY), Bachelor of Arts in Early Childhood Education with Psychology (BA-ECE), Advanced Certificate in Learning and Performance (ACLP2.0) “My 21-year journey in the ECCE industry hasn’t been without its ups and downs, but following my heart and working hard has led me here today. Being",https://starlearners.com.sg/our-centres/woodlands-11/,0.475,learning | opportunity,yes,what languages are taught in school?,school,yes,english | chinese,starlearners.com.sg,The branch page lists Speech & Drama enrichment in English and Chinese.
retrieval-school-centre-pt9463-outdoor,CENTRE:PT9463,school,Does this preschool describe outdoor learning or outdoor facilities?,"Close Search Star Learners at Tampines East Our preschool and child care in Tampines East provides all-rounded programmes for children 18 months to 6 years old and offers a conducive environment with diverse opportunities for learning and development in the early years. As an appointed Partner Operator (POP) by ECDA, Star Learners is committed to providing quality preschool and child care services whilst keeping school fees affordable. Experience this Centre Star Learners at Tampines East Parents’ preferred preschool in Tampines East Awarded the ECDA SPARK certification for quality standards in Curriculum, Pedagogy and Health, Hygiene & Safety 2026 full-day child care school fees (before taxes and subsidies) are as follows: Singaporeans — $650 PRs/ Foreigners — $1230 A fully air-conditioned childcare centre with a well-designed environment conducive for fun and exciting learning Enrichment programmes available include Bahasa Melayu @ Play, Speech & Drama (English and Chinese) and Zumbini & Zumba Common outdoor playground near the centre for daily outdoor learning and activities Easily accessible with multiple buses servicing the area Near the Tampines East MRT station Age group: 18 months",https://starlearners.com.sg/our-centres/tampines-east/,0.57,preschool | outdoor | learning,yes,Does this branch have an outdoor playground?,school,yes,common outdoor playground,starlearners.com.sg,Assistant-assisted label: passage contains topic-specific evidence 'common outdoor playground' for the query; independent human verification not performed.
retrieval-school-centre-pt9463-curriculum,CENTRE:PT9463,school,What curriculum or teaching approach does this preschool describe?,"Close Search Star Learners at Tampines East Our preschool and child care in Tampines East provides all-rounded programmes for children 18 months to 6 years old and offers a conducive environment with diverse opportunities for learning and development in the early years. As an appointed Partner Operator (POP) by ECDA, Star Learners is committed to providing quality preschool and child care services whilst keeping school fees affordable. Experience this Centre Star Learners at Tampines East Parents’ preferred preschool in Tampines East Awarded the ECDA SPARK certification for quality standards in Curriculum, Pedagogy and Health, Hygiene & Safety 2026 full-day child care school fees (before taxes and subsidies) are as follows: Singaporeans — $650 PRs/ Foreigners — $1230 A fully air-conditioned childcare centre with a well-designed environment conducive for fun and exciting learning Enrichment programmes available include Bahasa Melayu @ Play, Speech & Drama (English and Chinese) and Zumbini & Zumba Common outdoor playground near the centre for daily outdoor learning and activities Easily accessible with multiple buses servicing the area Near the Tampines East MRT station Age group: 18 months",https://starlearners.com.sg/our-centres/tampines-east/,0.53,curriculum | approach | preschool,yes,What kind of curriculum does the preschool have?,school,yes,curriculum,starlearners.com.sg,Assistant-assisted label: passage contains topic-specific evidence 'curriculum' for the query; independent human verification not performed.
retrieval-school-centre-pt9463-language,CENTRE:PT9463,school,What language-learning opportunities are described?,"teachers, parents and the child. We aim to provide an environment where children grow up to be confident, creative individuals with strength of character. Our unique literature-based curriculum immerses every child in rich and exciting worlds, and opens up plenty of opportunities for them to tackle concepts in multiple learning areas. Through its integration with a robust activity-based approach, children learn a multitude of essential skills such as problem-solving, creative and critical thinking, and communication. Our bespoke Stanley Starfish™ Character Programme introuduces character traits via our unique literature-based approach. Using stories and authentic context, we provide children with ample opportunities to apply what they have learnt. Character, social, and emotional development are integrated into everyday school life, laying the foundation for satisfaction, security and success. This foundation begins at Star Learners – where character is not just taught, but caught. Ms Sze Wei Principal, Star Learners @ Tampines East Master of Science in Early Childhood Education “My 28-year journey in early childhood education has been an enriching and wonderful experience, filled with learning, growth and the joy of shaping young",https://starlearners.com.sg/our-centres/tampines-east/,0.475,learning | opportunity,yes,what languages are taught in school?,school,yes,Bahasa Melayu | English | Chinese,starlearners.com.sg,The branch page lists Bahasa Melayu activities and Speech & Drama enrichment in English and Chinese.
retrieval-school-centre-pt9189-outdoor,CENTRE:PT9189,school,Does this preschool describe outdoor learning or outdoor facilities?,"Close Search Star Learners at Tampines Our preschool and child care in Tampines provides all-rounded programmes for children 18 months to 6 years old and offers a conducive environment with diverse opportunities for learning and development in the early years. As an appointed Partner Operator (POP) by ECDA, Star Learners is committed to providing quality preschool and child care services whilst keeping school fees affordable. Experience this Centre Star Learners at Tampines Parents’ preferred preschool in Tampines Awarded the ECDA SPARK certification for quality standards in Curriculum, Pedagogy and Health, Hygiene & Safety 2026 full-day child care school fees (before taxes and subsidies) are as follows: Singaporeans — $650 PRs/ Foreigners — $1230 A fully air-conditioned childcare centre with a well-designed environment conducive for fun and exciting learning Enrichment programmes available include Abacus and Speech & Drama (English and Chinese) Surrounded by many common outdoor playgrounds Strategically located near Tampines and Tampines East MRT Close to amenities like Tampines 1 and Tampines Library Age group: 18 months to 6 years old partners-partneroperator partners-spark partners-hpb Tampines 2 Tampines 3 Tampines 1",https://starlearners.com.sg/our-centres/tampines/,0.57,preschool | outdoor | learning,yes,Does this branch have an outdoor playground?,school,yes,common outdoor playground,starlearners.com.sg,Assistant-assisted label: passage contains topic-specific evidence 'common outdoor playground' for the query; independent human verification not performed.
